id,comment,score
372,我是第一天上映去看的，可能因为刚看完烈火英雄没多久，对这个很期待，但是真的去看了之后再跟前几天的烈火英雄一对比，我觉得辜负了我的期待，我倒不觉得有什么流量演员演技之类的问题，我觉得每个人演的都很好，但是这个电影好像为了演而演，看完以后我都没有记住什么内容，还是剧情有问题,1.0
373,特效不错，彩蛋加分，总体来说值得一看，能看出来特效真的花了好多钱，（顺便Imax场比3d场视觉效果要好太多了，，,0.9999
374,就一点 军人还留个偶像发型 戴军帽还怕发型压塌了 虚着带 我就吐了,0.8797
375,辛苦辛苦！晚安,0.9688
376,你看看odeon官网有没有,0.2016
377,劳资超喜欢绘梨衣,0.8744
378,几千万的粉丝跳脚？太夸张了吧，我是粉丝我就没跳脚！因为我还没去看，看过了我才有资格评论，你说呢,0.0055
379,不至于黑成这样,0.6031
380,八分吧。,0.551
381,晚安,0.6486
382,上映前他可不是这么说的，现在帅锅鹿？,0.8283
383,楚子航别江南老贼写死了,0.4509
384,以后不要带以后与电影无关的不要带上海堡垒话题 电影广场刷出来不好看,0.9654
385,你见过那个军人的头发那么长！,0.1726
386,我不懂 本来就是烂片 花钱看了评价一下为什么还委屈上了？大众那么喜欢往可怜的一方倒吗,0.023
387,1分给电影院的空调 不能再高了,0.0454
388,圈钱活动宣告失败，感谢之前的好电影给了我们说真话的底气,0.5854
389, 辛苦了大吧,0.8234
391,上海堡垒,0.4297
392,对 导演这么可爱 怎么能忽略小熊呢,0.9919
393,为什么有王一博的名字，和一博有什么关系啊？,0.4779
394,和电影无关的不要带上海堡垒四个字哦,0.8019
395,不吹不黑，从中立的角度谈，确实，很大气，立意高，能自洽，显示了中国科幻人特有的浪漫情怀 全片也时刻展现了导演对于整个故事的把控，演员对于角色的理解，尤其是在危急存亡之际闪耀出的大无畏的勇气与可歌可泣的爱情都让人泪目 全片水平之高，对比好菜坞的话，与环大西洋不相上下。,1.0
396,感觉有些人恶意太大了吧，根本不是在否定电影，而是在否认鹿晗，全部人讲得都很厉害的样子“从专业的角度来看怎么怎么样”，直说不喜欢鹿晗，不喜欢小鲜肉就行了呗，何必假装公正说电影这不好那不好。我看过了我觉得还可以，非得所有人都觉得不好？花的我自己的钱，你激动个啥,0.287
397,我觉得可以八分，但我打了十分哈哈哈哈哈哈哈哈哈哈哈哈因为鹿晗好帅哦,0.9989
398,呵，钱赚够了？,0.2717
399,辛苦了…一起陪着鹿晗闯天下[加油][加油][加油],0.9994
402,还有问一些好的问题方便堡垒官博可以发出来啊，今天都好几场了，好像只发了一个军人妈妈的发言？,0.1878
403,换成谁能行？？,0.0506
404,回评来辽,0.3357
405,3.5的分数打出来 我不知道粉丝怎么闭眼吹好看的 如果真的好看 分数不会一直降 会一直升的 虽有恶意评分的人 但大多数观众不会侮辱好作品,0.6796
